t_s,ecg_mv
0.5600,0.2952
0.5640,0.3499
0.5680,0.3438
0.5720,0.3555
0.5760,0.3706
0.5800,0.3844
0.5840,0.4256
0.5880,0.4428
0.5920,0.4274
0.5960,0.4141
0.6000,0.4502
0.6040,0.4437
0.6080,0.4420
0.6120,0.4105
0.6160,0.4004
0.6200,0.4149
0.6240,0.3901
0.6280,0.4025
0.6320,0.3624
0.6360,0.3822
0.6400,0.3593
0.6440,0.3406
0.6480,0.3212
0.6520,0.2913
0.6560,0.2914
0.6600,0.2512
0.6640,0.2460
0.6680,0.2553
0.6720,0.2110
0.6760,0.2174
0.6800,0.1843
0.6840,0.1960
0.6880,0.1824
0.6920,0.1815
0.6960,0.1583
0.7000,0.1643
0.7040,0.1860
0.7080,0.1853
0.7120,0.1368
0.7160,0.1427
0.7200,0.1633
0.7240,0.1593
0.7280,0.1515
0.7320,0.1947
0.7360,0.1468
0.7400,0.1240
0.7440,0.1903
0.7480,0.1353
0.7520,0.1455
0.7560,0.1112
0.7600,0.1727
0.7640,0.1209
0.7680,0.1657
0.7720,0.1564
0.7760,0.1657
0.7800,0.1162
0.7840,0.1510
0.7880,0.1390
0.7920,0.1577
0.7960,0.1003
0.8000,0.1734
0.8040,0.1706
0.8080,0.1566
0.8120,0.1725
0.8160,0.1549
0.8200,0.1551
0.8240,0.1922
0.8280,0.1639
0.8320,0.1414
0.8360,0.1416
0.8400,0.1539
0.8440,0.1563
0.8480,0.1502
0.8520,0.1473
0.8560,0.1541
0.8600,0.1568
0.8640,0.1645
0.8680,0.1527
0.8720,0.1542
0.8760,0.1136
0.8800,0.1530
0.8840,0.1805
0.8880,0.1714
0.8920,0.1177
0.8960,0.1259
0.9000,0.1594
0.9040,0.1396
0.9080,0.1537
0.9120,0.1394
0.9160,0.1429
0.9200,0.1446
0.9240,0.1537
0.9280,0.1735
0.9320,0.1511
0.9360,0.1729
0.9400,0.1267
0.9440,0.1675
0.9480,0.1401
0.9520,0.1427
0.9560,0.1297
0.9600,0.1398
0.9640,0.1867
0.9680,0.1577
0.9720,0.1430
0.9760,0.1266
0.9800,0.1542
0.9840,0.1392
0.9880,0.1693
0.9920,0.1448
0.9960,0.1022
1.0000,0.1807
1.0040,0.1382
1.0080,0.1965
1.0120,0.1519
1.0160,0.1593
1.0200,0.1351
1.0240,0.1544
1.0280,0.1610
1.0320,0.1454
1.0360,0.1739
1.0400,0.1411
1.0440,0.2026
1.0480,0.1963
1.0520,0.1949
1.0560,0.2127
1.0600,0.2472
1.0640,0.2676
1.0680,0.2552
1.0720,0.2654
1.0760,0.2514
1.0800,0.2558
1.0840,0.2642
1.0880,0.2547
1.0920,0.2271
1.0960,0.2356
1.1000,0.2345
1.1040,0.2398
1.1080,0.1919
1.1120,0.1667
1.1160,0.1514
1.1200,0.1692
1.1240,0.1590
1.1280,0.1372
1.1320,0.1494
1.1360,0.1166
1.1400,0.1027
1.1440,0.1572
1.1480,0.1408
1.1520,0.1237
1.1560,0.1362
1.1600,0.1241
1.1640,0.1624
1.1680,0.1572
1.1720,0.1459
1.1760,0.1218
1.1800,0.1454
1.1840,0.1671
1.1880,0.1475
1.1920,0.0628
1.1960,0.0494
1.2000,0.0191
1.2040,0.0631
1.2080,0.1048
1.2120,0.1461
1.2160,0.2462
1.2200,0.4030
1.2240,0.6322
1.2280,0.8717
1.2320,1.0505
1.2360,1.1301
1.2400,1.0697
1.2440,0.8687
1.2480,0.6192
1.2520,0.3322
1.2560,0.1779
1.2600,-0.0079
1.2640,-0.0541
1.2680,-0.0609
1.2720,-0.0979
1.2760,-0.0006
1.2800,0.0714
1.2840,0.1292
1.2880,0.1441
1.2920,0.1286
1.2960,0.1096
1.3000,0.1444
1.3040,0.1526
1.3080,0.1623
1.3120,0.1224
1.3160,0.1413
1.3200,0.1188
1.3240,0.1467
1.3280,0.1664
1.3320,0.1184
1.3360,0.1281
1.3400,0.1283
1.3440,0.1391
1.3480,0.1651
1.3520,0.1009
1.3560,0.1217
1.3600,0.1374
1.3640,0.1523
1.3680,0.1634
1.3720,0.1247
1.3760,0.1249
1.3800,0.1208
1.3840,0.1410
1.3880,0.1302
1.3920,0.1584
1.3960,0.1570
1.4000,0.1782
1.4040,0.1673
1.4080,0.1763
1.4120,0.1902
1.4160,0.1769
1.4200,0.2007
1.4240,0.2543
1.4280,0.2318
1.4320,0.2511
1.4360,0.2426
1.4400,0.2920
1.4440,0.3211
1.4480,0.3340
1.4520,0.3325
1.4560,0.3218
1.4600,0.3535
1.4640,0.4019
1.4680,0.4206
1.4720,0.4245
1.4760,0.3915
1.4800,0.4051
1.4840,0.4469
1.4880,0.4281
1.4920,0.3898
1.4960,0.3866
1.5000,0.4255
1.5040,0.3960
1.5080,0.4033
1.5120,0.3635
1.5160,0.3327
1.5200,0.3422
1.5240,0.3031
1.5280,0.2870
1.5320,0.2857
1.5360,0.2481
1.5400,0.2351
1.5440,0.2388
1.5480,0.2322
1.5520,0.1826
1.5560,0.1428
1.5600,0.1509
1.5640,0.1606
1.5680,0.1760
1.5720,0.1232
1.5760,0.1324
1.5800,0.1328
1.5840,0.1281
1.5880,0.1252
1.5920,0.1230
1.5960,0.0790
1.6000,0.1106
1.6040,0.1359
1.6080,0.1020
1.6120,0.1374
1.6160,0.1125
1.6200,0.1067
1.6240,0.1152
1.6280,0.1124
1.6320,0.1036
1.6360,0.1092
1.6400,0.0890
1.6440,0.0813
1.6480,0.1181
1.6520,0.0739
1.6560,0.0810
1.6600,0.1076
1.6640,0.1119
1.6680,0.1361
1.6720,0.0996
1.6760,0.0815
1.6800,0.0885
1.6840,0.1026
1.6880,0.1274
1.6920,0.0720
1.6960,0.0941
1.7000,0.0775
1.7040,0.0986
1.7080,0.1087
1.7120,0.0773
1.7160,0.0877
1.7200,0.0891
1.7240,0.0977
1.7280,0.1018
1.7320,0.0999
1.7360,0.0357
1.7400,0.0741
1.7440,0.0960
1.7480,0.1237
1.7520,0.0403
1.7560,0.0947
1.7600,0.0779
1.7640,0.0804
1.7680,0.1068
1.7720,0.0766
1.7760,0.0444
1.7800,0.0554
1.7840,0.0915
1.7880,0.0789
1.7920,0.0932
1.7960,0.0833
1.8000,0.0759
1.8040,0.0904
1.8080,0.0648
1.8120,0.0757
1.8160,0.0658
1.8200,0.0873
1.8240,0.0964
1.8280,0.1087
1.8320,0.0456
1.8360,0.0665
1.8400,0.0524
1.8440,0.0683
1.8480,0.0553
1.8520,0.0685
1.8560,0.0666
1.8600,0.0638
1.8640,0.0814
1.8680,0.0931
1.8720,0.0466
1.8760,0.0417
1.8800,0.0718
1.8840,0.0496
1.8880,0.0980
1.8920,0.0733
1.8960,0.0654
1.9000,0.0961
1.9040,0.0944
1.9080,0.1019
1.9120,0.0727
1.9160,0.1118
1.9200,0.1145
1.9240,0.1648
1.9280,0.1834
1.9320,0.1740
1.9360,0.1705
1.9400,0.1504
1.9440,0.1772
1.9480,0.1792
1.9520,0.1456
1.9560,0.1105
1.9600,0.0847
1.9640,0.1126
1.9680,0.1142
1.9720,0.1095
1.9760,0.1102
1.9800,0.0966
1.9840,0.0816
1.9880,0.0604
1.9920,0.0250
1.9960,0.0362
2.0000,0.0585
2.0040,0.0425
2.0080,0.0288
2.0120,0.0287
2.0160,0.0652
2.0200,0.0363
2.0240,0.0490
2.0280,0.0402
2.0320,0.0150
2.0360,0.0096
2.0400,0.0288
2.0440,0.0200
2.0480,-0.0142
2.0520,-0.0311
2.0560,-0.0601
2.0600,-0.0350
2.0640,-0.0112
2.0680,0.0170
2.0720,0.0303
2.0760,0.1215
2.0800,0.3426
2.0840,0.5867
2.0880,0.7710
2.0920,0.9347
2.0960,1.0133
2.1000,0.9433
2.1040,0.7447
2.1080,0.4493
2.1120,0.2071
2.1160,0.0140
2.1200,-0.0940
2.1240,-0.1588
2.1280,-0.1900
2.1320,-0.1513
2.1360,-0.1194
2.1400,-0.0356
2.1440,-0.0120
2.1480,0.0195
2.1520,0.0095
2.1560,0.0142
2.1600,0.0347
2.1640,0.0085
2.1680,0.0081
2.1720,0.0159
2.1760,-0.0048
2.1800,-0.0061
2.1840,0.0266
2.1880,0.0081
2.1920,-0.0154
2.1960,0.0005
2.2000,0.0074
2.2040,0.0109
2.2080,0.0100
2.2120,-0.0027
2.2160,0.0027
2.2200,0.0099
2.2240,-0.0053
2.2280,0.0378
2.2320,0.0149
2.2360,0.0136
2.2400,0.0084
2.2440,0.0310
2.2480,0.0239
2.2520,0.0180
2.2560,0.0323
2.2600,0.0301
2.2640,0.0380
2.2680,0.0651
2.2720,0.0652
2.2760,0.0521
2.2800,0.0690
2.2840,0.1203
2.2880,0.1050
2.2920,0.1439
2.2960,0.1378
2.3000,0.1836
2.3040,0.1849
2.3080,0.1933
2.3120,0.2161
2.3160,0.2125
2.3200,0.2161
2.3240,0.2503
2.3280,0.2932
2.3320,0.2547
2.3360,0.2646
2.3400,0.2723
2.3440,0.2937
2.3480,0.2667
2.3520,0.2718
2.3560,0.2597
2.3600,0.2442
2.3640,0.2548
2.3680,0.2182
2.3720,0.2114
2.3760,0.1548
2.3800,0.1707
2.3840,0.1560
2.3880,0.1434
2.3920,0.1027
2.3960,0.0980
2.4000,0.0937
2.4040,0.0790
2.4080,0.0661
2.4120,0.0510
2.4160,0.0441
2.4200,0.0353
2.4240,0.0308
2.4280,0.0177
2.4320,-0.0098
2.4360,-0.0208
2.4400,-0.0263
2.4440,-0.0038
2.4480,-0.0303
2.4520,-0.0544
2.4560,-0.0461
2.4600,-0.0361
2.4640,-0.0094
2.4680,-0.0315
2.4720,-0.0461
2.4760,-0.0158
2.4800,-0.0399
2.4840,-0.0248
2.4880,-0.0427
2.4920,-0.0614
2.4960,-0.0571
2.5000,-0.0468
2.5040,-0.0384
2.5080,-0.0598
2.5120,-0.0297
2.5160,-0.0662
2.5200,-0.0546
2.5240,-0.0474
2.5280,-0.0321
2.5320,-0.0379
2.5360,-0.0615
2.5400,-0.0537
2.5440,-0.0550
2.5480,-0.0358
2.5520,-0.0453
2.5560,-0.0725
2.5600,-0.0625
2.5640,-0.0548
2.5680,-0.0642
2.5720,-0.0981
2.5760,-0.0562
2.5800,-0.0576
2.5840,-0.0353
2.5880,-0.0604
2.5920,-0.0894
2.5960,-0.0480
2.6000,-0.0574
2.6040,-0.0528
2.6080,-0.0679
2.6120,-0.0506
2.6160,-0.0584
2.6200,-0.0544
2.6240,-0.0710
2.6280,-0.0790
2.6320,-0.0663
2.6360,-0.0540
2.6400,-0.0882
2.6440,-0.0489
2.6480,-0.0834
2.6520,-0.0900
2.6560,-0.1013
2.6600,-0.0505
2.6640,-0.0560
2.6680,-0.0622
2.6720,-0.0961
2.6760,-0.0765
2.6800,-0.0952
2.6840,-0.0489
2.6880,-0.0861
2.6920,-0.0537
2.6960,-0.0826
2.7000,-0.0953
2.7040,-0.0755
2.7080,-0.0661
2.7120,-0.0934
2.7160,-0.0921
2.7200,-0.0841
2.7240,-0.0600
2.7280,-0.0597
2.7320,-0.0977
2.7360,-0.0555
2.7400,-0.1119
2.7440,-0.0569
2.7480,-0.0837
2.7520,-0.0496
2.7560,-0.0599
2.7600,-0.0408
2.7640,-0.0608
2.7680,-0.0381
2.7720,-0.0211
2.7760,0.0044
2.7800,0.0067
2.7840,0.0169
2.7880,0.0304
2.7920,0.0010
2.7960,0.0245
2.8000,0.0239
2.8040,0.0398
2.8080,0.0082
2.8120,-0.0000
2.8160,-0.0417
2.8200,-0.0179
2.8240,-0.0275
2.8280,-0.0595
2.8320,-0.0627
2.8360,-0.0973
2.8400,-0.0593
2.8440,-0.0757
2.8480,-0.0937
2.8520,-0.0934
2.8560,-0.0881
2.8600,-0.0945
2.8640,-0.0954
2.8680,-0.1044
2.8720,-0.0754
2.8760,-0.1083
2.8800,-0.0743
2.8840,-0.0979
2.8880,-0.0864
2.8920,-0.0945
2.8960,-0.1548
2.9000,-0.1445
2.9040,-0.2099
2.9080,-0.2018
2.9120,-0.1586
2.9160,-0.1630
2.9200,-0.0947
2.9240,-0.0070
2.9280,0.1402
2.9320,0.3321
2.9360,0.5947
2.9400,0.7895
2.9440,0.8968
2.9480,0.8477
2.9520,0.6658
2.9560,0.3755
2.9600,0.1433
2.9640,-0.0580
2.9680,-0.2031
2.9720,-0.2951
2.9760,-0.3228
2.9800,-0.2852
2.9840,-0.2247
2.9880,-0.1744
2.9920,-0.1607
2.9960,-0.1572
3.0000,-0.1010
3.0040,-0.1218
3.0080,-0.1245
3.0120,-0.1266
3.0160,-0.1353
3.0200,-0.1091
3.0240,-0.1075
3.0280,-0.1047
3.0320,-0.1081
3.0360,-0.1167
3.0400,-0.1405
3.0440,-0.1107
3.0480,-0.1069
3.0520,-0.1386
3.0560,-0.1351
3.0600,-0.0904
3.0640,-0.0919
3.0680,-0.1338
3.0720,-0.1283
3.0760,-0.1141
3.0800,-0.1067
3.0840,-0.0934
3.0880,-0.0976
3.0920,-0.1145
3.0960,-0.1157
3.1000,-0.1068
3.1040,-0.0880
3.1080,-0.0783
3.1120,-0.0635
3.1160,-0.0620
3.1200,-0.0526
3.1240,-0.0024
3.1280,-0.0093
3.1320,0.0080
3.1360,0.0099
3.1400,0.0500
3.1440,0.0797
3.1480,0.1156
3.1520,0.0631
3.1560,0.0860
3.1600,0.1432
3.1640,0.1608
3.1680,0.1741
3.1720,0.1203
3.1760,0.1489
3.1800,0.1840
3.1840,0.1667
3.1880,0.1552
3.1920,0.2017
3.1960,0.1317
3.2000,0.1432
3.2040,0.1426
3.2080,0.1458
3.2120,0.0888
3.2160,0.0579
3.2200,0.0654
3.2240,0.0325
3.2280,0.0526
3.2320,-0.0159
3.2360,-0.0220
3.2400,-0.0132
3.2440,-0.0300
3.2480,-0.0625
3.2520,-0.0649
3.2560,-0.0924
3.2600,-0.0904
3.2640,-0.0994
3.2680,-0.0930
3.2720,-0.1150
3.2760,-0.1519
3.2800,-0.1028
3.2840,-0.1049
3.2880,-0.1228
3.2920,-0.1191
3.2960,-0.1747
3.3000,-0.1258
3.3040,-0.1183
3.3080,-0.1230
3.3120,-0.1463
3.3160,-0.1663
3.3200,-0.1578
3.3240,-0.1245
3.3280,-0.1381
3.3320,-0.1362
3.3360,-0.1461
3.3400,-0.1581
3.3440,-0.1196
3.3480,-0.1204
3.3520,-0.1401
3.3560,-0.1556
3.3600,-0.1343
3.3640,-0.1420
3.3680,-0.1169
3.3720,-0.1585
3.3760,-0.1492
3.3800,-0.1520
3.3840,-0.1392
3.3880,-0.0988
3.3920,-0.1632
3.3960,-0.1496
3.4000,-0.1340
3.4040,-0.1197
3.4080,-0.1339
3.4120,-0.1608
3.4160,-0.1140
3.4200,-0.1343
3.4240,-0.1204
3.4280,-0.1387
3.4320,-0.1500
3.4360,-0.1784
3.4400,-0.1315
3.4440,-0.1360
3.4480,-0.1338
3.4520,-0.1311
3.4560,-0.1640
3.4600,-0.1341
3.4640,-0.1203
3.4680,-0.1192
3.4720,-0.1516
3.4760,-0.1703
3.4800,-0.1577
3.4840,-0.1466
3.4880,-0.1274
3.4920,-0.1415
3.4960,-0.1583
3.5000,-0.1480
3.5040,-0.1458
3.5080,-0.1514
3.5120,-0.1288
3.5160,-0.1449
3.5200,-0.1270
3.5240,-0.1198
3.5280,-0.1004
3.5320,-0.0993
3.5360,-0.1063
3.5400,-0.0614
3.5440,-0.0639
3.5480,-0.0602
3.5520,-0.0312
3.5560,-0.0364
3.5600,-0.0304
3.5640,-0.0059
3.5680,-0.0178
3.5720,-0.0141
3.5760,-0.0530
3.5800,-0.0344
3.5840,-0.0371
3.5880,-0.0654
3.5920,-0.0862
3.5960,-0.0918
3.6000,-0.1191
3.6040,-0.0967
3.6080,-0.1258
3.6120,-0.1506
3.6160,-0.1342
3.6200,-0.1394
3.6240,-0.1402
3.6280,-0.1380
3.6320,-0.1802
3.6360,-0.1528
3.6400,-0.1561
3.6440,-0.1421
3.6480,-0.1676
3.6520,-0.1295
3.6560,-0.1473
3.6600,-0.1465
3.6640,-0.1480
3.6680,-0.1756
3.6720,-0.1949
3.6760,-0.1759
3.6800,-0.2672
3.6840,-0.2076
3.6880,-0.2389
3.6920,-0.2132
3.6960,-0.1589
3.7000,-0.1024
3.7040,0.0350
3.7080,0.1906
3.7120,0.4506
3.7160,0.6964
3.7200,0.8480
3.7240,0.8343
3.7280,0.7365
3.7320,0.4557
3.7360,0.2126
3.7400,-0.0003
3.7440,-0.1741
3.7480,-0.2807
3.7520,-0.3605
3.7560,-0.3286
3.7600,-0.3131
3.7640,-0.1834
3.7680,-0.1780
3.7720,-0.1816
3.7760,-0.1242
3.7800,-0.1445
3.7840,-0.1302
3.7880,-0.1415
3.7920,-0.1682
3.7960,-0.1556
3.8000,-0.1203
3.8040,-0.1119
3.8080,-0.1368
3.8120,-0.1695
3.8160,-0.1147
3.8200,-0.1251
3.8240,-0.1198
3.8280,-0.1255
3.8320,-0.1449
3.8360,-0.1178
3.8400,-0.1497
3.8440,-0.1382
3.8480,-0.1444
3.8520,-0.1339
3.8560,-0.1435
3.8600,-0.1525
3.8640,-0.1133
3.8680,-0.1126
3.8720,-0.0969
3.8760,-0.1103
3.8800,-0.1122
3.8840,-0.0886
3.8880,-0.1033
3.8920,-0.0969
3.8960,-0.1083
3.9000,-0.0650
3.9040,-0.0320
3.9080,-0.0413
3.9120,-0.0023
3.9160,-0.0270
3.9200,0.0152
3.9240,0.0448
3.9280,0.0441
3.9320,0.0409
3.9360,0.0656
3.9400,0.0871
3.9440,0.1076
3.9480,0.1416
3.9520,0.1247
3.9560,0.1578
3.9600,0.1378
3.9640,0.1782
3.9680,0.1606
3.9720,0.1769
3.9760,0.1586
3.9800,0.1703
3.9840,0.1615
3.9880,0.1695
3.9920,0.1664
3.9960,0.1235
4.0000,0.0843
4.0040,0.0802
4.0080,0.0657
4.0120,0.0475
4.0160,0.0290
4.0200,0.0438
4.0240,0.0297
4.0280,0.0050
4.0320,-0.0313
4.0360,-0.0185
4.0400,-0.0290
4.0440,-0.0395
4.0480,-0.0614
4.0520,-0.0835
4.0560,-0.0972
4.0600,-0.0694
4.0640,-0.0970
4.0680,-0.0762
4.0720,-0.0993
4.0760,-0.0930
4.0800,-0.1165
4.0840,-0.1018
4.0880,-0.0892
4.0920,-0.1386
4.0960,-0.1409
4.1000,-0.1041
4.1040,-0.0877
4.1080,-0.0911
4.1120,-0.0763
4.1160,-0.1066
4.1200,-0.1039
4.1240,-0.1058
4.1280,-0.0971
4.1320,-0.1042
4.1360,-0.1155
4.1400,-0.1303
4.1440,-0.1177
4.1480,-0.1158
4.1520,-0.1241
4.1560,-0.1384
4.1600,-0.1120
4.1640,-0.0907
4.1680,-0.0910
4.1720,-0.1042
4.1760,-0.0842
4.1800,-0.1025
4.1840,-0.0817
4.1880,-0.0901
4.1920,-0.1259
4.1960,-0.1070
4.2000,-0.1229
4.2040,-0.1149
4.2080,-0.1272
4.2120,-0.0931
4.2160,-0.0997
4.2200,-0.1115
4.2240,-0.1011
4.2280,-0.0714
4.2320,-0.1238
4.2360,-0.1004
4.2400,-0.0940
4.2440,-0.0920
4.2480,-0.1074
4.2520,-0.0848
4.2560,-0.1195
4.2600,-0.1230
4.2640,-0.0915
4.2680,-0.0663
4.2720,-0.1170
4.2760,-0.1337
4.2800,-0.1189
4.2840,-0.1008
4.2880,-0.0587
4.2920,-0.0865
4.2960,-0.1053
4.3000,-0.0419
4.3040,-0.0834
4.3080,-0.0985
4.3120,-0.0866
4.3160,-0.0774
4.3200,-0.0815
4.3240,-0.0689
4.3280,-0.0716
4.3320,-0.1228
4.3360,-0.0936
4.3400,-0.0562
4.3440,-0.1000
4.3480,-0.0693
4.3520,-0.0732
4.3560,-0.0892
4.3600,-0.0502
4.3640,-0.0757
4.3680,-0.0573
4.3720,-0.0655
4.3760,-0.0816
4.3800,-0.0645
4.3840,-0.0383
4.3880,-0.0212
4.3920,-0.0228
4.3960,0.0197
4.4000,0.0123
4.4040,0.0664
4.4080,0.0009
4.4120,0.0555
4.4160,0.0365
4.4200,0.0485
4.4240,0.0471
4.4280,0.0267
4.4320,-0.0120
4.4360,-0.0038
4.4400,-0.0289
4.4440,-0.0278
4.4480,-0.0060
4.4520,-0.0508
4.4560,-0.0804
4.4600,-0.0372
4.4640,-0.0364
4.4680,-0.0472
4.4720,-0.0676
4.4760,-0.0616
4.4800,-0.0902
4.4840,-0.0799
4.4880,-0.0394
4.4920,-0.0676
4.4960,-0.0734
4.5000,-0.0640
4.5040,-0.0524
4.5080,-0.0482
4.5120,-0.1044
4.5160,-0.0446
4.5200,-0.0758
4.5240,-0.0464
4.5280,-0.1042
4.5320,-0.1276
4.5360,-0.1469
4.5400,-0.1381
4.5440,-0.1071
4.5480,-0.1058
4.5520,-0.0272
4.5560,0.0731
4.5600,0.2247
4.5640,0.4576
4.5680,0.6841
4.5720,0.8508
4.5760,0.9417
4.5800,0.8610
4.5840,0.6650
4.5880,0.3984
4.5920,0.1392
4.5960,-0.0430
4.6000,-0.1816
4.6040,-0.2337
4.6080,-0.2492
4.6120,-0.2302
4.6160,-0.1717
4.6200,-0.0950
4.6240,-0.0709
4.6280,-0.0437
4.6320,-0.0368
4.6360,-0.0500
4.6400,-0.0496
4.6440,-0.0161
4.6480,-0.0134
4.6520,-0.0257
4.6560,-0.0305
4.6600,-0.0394
4.6640,-0.0216
4.6680,-0.0092
4.6720,-0.0284
4.6760,-0.0406
4.6800,-0.0172
4.6840,-0.0236
4.6880,0.0027
4.6920,-0.0281
4.6960,-0.0271
4.7000,-0.0257
4.7040,-0.0501
4.7080,-0.0268
4.7120,-0.0386
4.7160,-0.0567
4.7200,-0.0063
4.7240,-0.0186
4.7280,-0.0496
4.7320,-0.0089
4.7360,-0.0006
4.7400,-0.0018
4.7440,0.0246
4.7480,0.0362
4.7520,0.0138
4.7560,0.0032
4.7600,0.0380
4.7640,0.0625
4.7680,0.0539
4.7720,0.0869
4.7760,0.0864
4.7800,0.1116
4.7840,0.1274
4.7880,0.1546
4.7920,0.1356
4.7960,0.1650
4.8000,0.2116
4.8040,0.2240
4.8080,0.2460
4.8120,0.2507
4.8160,0.2449
4.8200,0.3076
4.8240,0.2709
4.8280,0.2562
4.8320,0.2705
4.8360,0.2969
4.8400,0.2847
4.8440,0.2781
4.8480,0.2819
4.8520,0.2629
4.8560,0.2695
4.8600,0.2549
4.8640,0.2385
4.8680,0.2572
4.8720,0.2184
4.8760,0.1776
4.8800,0.1478
4.8840,0.1431
4.8880,0.1433
4.8920,0.1223
4.8960,0.0628
4.9000,0.0801
4.9040,0.1015
4.9080,0.0737
4.9120,0.0343
4.9160,0.0361
4.9200,0.0522
4.9240,0.0655
4.9280,0.0656
4.9320,-0.0074
4.9360,0.0081
4.9400,0.0237
4.9440,0.0418
4.9480,0.0318
4.9520,-0.0112
4.9560,0.0195
4.9600,-0.0021
4.9640,0.0285
4.9680,0.0175
4.9720,0.0129
4.9760,0.0066
4.9800,0.0496
4.9840,0.0383
4.9880,0.0366
4.9920,0.0017
4.9960,0.0214
5.0000,0.0189
5.0040,0.0201
5.0080,0.0128
5.0120,-0.0004
5.0160,-0.0102
5.0200,0.0357
5.0240,0.0072
5.0280,0.0338
5.0320,-0.0094
5.0360,0.0185
5.0400,0.0130
5.0440,0.0332
5.0480,-0.0055
5.0520,0.0275
5.0560,0.0215
5.0600,-0.0033
5.0640,0.0590
5.0680,0.0083
5.0720,0.0281
5.0760,0.0189
5.0800,0.0314
5.0840,0.0446
5.0880,0.0595
5.0920,0.0068
5.0960,-0.0003
5.1000,0.0164
5.1040,0.0559
5.1080,0.0413
5.1120,-0.0118
5.1160,0.0303
5.1200,0.0323
5.1240,0.0279
5.1280,0.0228
5.1320,0.0253
5.1360,0.0096
5.1400,0.0390
5.1440,0.0618
5.1480,0.0417
5.1520,0.0256
5.1560,0.0108
5.1600,0.0253
5.1640,0.0699
5.1680,0.0188
5.1720,0.0246
5.1760,0.0418
5.1800,0.0179
5.1840,0.0457
5.1880,0.0418
5.1920,0.0374
5.1960,0.0178
5.2000,0.0696
5.2040,0.0562
5.2080,0.0465
5.2120,0.0390
5.2160,0.0008
5.2200,0.0287
5.2240,0.0702
5.2280,0.0467
5.2320,0.0482
5.2360,0.0405
5.2400,0.0712
5.2440,0.0713
5.2480,0.0533
5.2520,0.0617
5.2560,0.0595
5.2600,0.0528
5.2640,0.0549
5.2680,0.0479
5.2720,0.0503
5.2760,0.0579
5.2800,0.0526
5.2840,0.0588
5.2880,0.0764
5.2920,0.0565
5.2960,0.0854
5.3000,0.0982
5.3040,0.1194
5.3080,0.1299
5.3120,0.0856
5.3160,0.1152
5.3200,0.1615
5.3240,0.1914
5.3280,0.1732
5.3320,0.1675
5.3360,0.1866
5.3400,0.1686
5.3440,0.1850
5.3480,0.1707
5.3520,0.1505
5.3560,0.1413
5.3600,0.1055
5.3640,0.1230
5.3680,0.1347
5.3720,0.0689
5.3760,0.0762
5.3800,0.0842
